"","species","population","season","bounds","static","beta","layer","type","sql","reclass","mean","sdev"
"1","caribou","DU6","EW","rast.du6_bounds","Y",-2.56292,"int","","","",0,1
"2","caribou","DU6","EW","rast.du6_bounds","Y",-0.01776,"bc_ha_slope","","rast.bc_ha_slope","",1.29,1.7
"3","caribou","DU6","EW","rast.du6_bounds","Y",-0.0187,"dt_waterbodies","DT","rast.dt_waterbodies","",1735.34,1321.73
"4","caribou","DU6","EW","rast.du6_bounds","Y",-0.02206,"dt_watercourses","DT","rast.dt_watercourses","",8339.88,5611.6
"5","caribou","DU6","EW","rast.du6_bounds","N",-0.05482,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",82949.34,62637.72
"6","caribou","DU6","EW","rast.du6_bounds","N",-0.15491,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",44787.09,35184.17
"7","caribou","DU6","EW","rast.du6_bounds","N",-0.1035,"blocks_10_60","DT","blockid > 0 AND age BETWEEN 10 AND 60","",24934.39,24867.17
"8","caribou","DU6","EW","rast.du6_bounds","Y",0.03725,"dt_crds_paved","DT","rast.dt_crds_paved","",25318.03,18921.11
"9","caribou","DU6","EW","rast.du6_bounds","N",0.0294,"dt_crds_resource","DT","roadyear >= 0","",603.36,573.78
"10","caribou","DU6","EW","rast.du6_bounds","Y",0.00804,"dt_pipelines","DT","rast.dt_pipelines","",4011.11,4576.62
"11","caribou","DU6","EW","rast.du6_bounds","Y",0.16724,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"12","caribou","DU6","EW","rast.du6_bounds","Y",0.49822,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"13","caribou","DU6","EW","rast.du6_bounds","Y",0.16128,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"14","caribou","DU6","EW","rast.du6_bounds","Y",-0.30526,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"15","caribou","DU6","EW","rast.du6_bounds","Y",-0.10831,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"16","caribou","DU6","EW","rast.du6_bounds","Y",-0.14529,"grow_deg_day","UP","rast.grow_deg_day","",1150.65,81.32
"17","caribou","DU6","EW","rast.du6_bounds","Y",-0.15568,"ppt_snow_winter","UP","rast.ppt_snow_winter","",69,5.96
"18","caribou","DU6","EW","rast.du6_bounds","Y",1,"bec_current","RC","rast.bec_current","''1-6:0,7:-0.1676, 8-129:0''",0,1
"19","caribou","DU6","EW","rast.du6_bounds","Y",1,"demars_wetland","RC","rast.demars_wetland","''0:0.6786,1:0.6786,2:0.6786,3:0.6786,5:0.6786,6:0.6786,7:0.3420,8:0.2420,9:0.3420,10:0.242,11:0.3420,12:0.2420,13:0.6995,14:0.6995,15:0.6995,16:-0.0345,17:-0.0345,18:-0.0345,20:0.0504,21:0,22:-0.5054,23:-0.5054,24:0.6786,25:0.6786,26:0.6786,27:0.6786,28:0.6786,29:0.6786,30:0.6786,32:0.6786,33:0''",0,1
"20","caribou","DU6","EW","rast.du6_bounds","Y",0.14354,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",17.21,15.12
"21","caribou","DU6","EW","rast.du6_bounds","Y",0.12382,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",12.55,12.19
"22","caribou","DU6","EW","rast.du6_bounds","N",0.0763,"age","UP","age","",96.49,37.78
"23","caribou","DU6","EW","rast.du6_bounds","Y",0.08514,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",27.01,19.13
"24","caribou","DU6","EW","rast.du6_bounds","N",-0.15519,"height","UP","height","",8.3,5.19
"25","caribou","DU6","EW","rast.du6_bounds","N",0.00479,"crownclosure","UP","crownclosure","",30.6,18.42
"26","caribou","DU6","LW","rast.du6_bounds","Y",-2.07467,"int","","","",0,1
"27","caribou","DU6","LW","rast.du6_bounds","Y",-0.04153,"bc_ha_slope","","rast.bc_ha_slope","",1.34,1.82
"28","caribou","DU6","LW","rast.du6_bounds","Y",0.00639,"dt_waterbodies","DT","rast.dt_waterbodies","",1931,1578.21
"29","caribou","DU6","LW","rast.du6_bounds","Y",0.01268,"dt_watercourses","DT","rast.dt_watercourses","",7895.47,5457.52
"30","caribou","DU6","LW","rast.du6_bounds","N",-0.05606,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",77316.24,62919.17
"31","caribou","DU6","LW","rast.du6_bounds","N",-0.04756,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",42942.93,34148.32
"32","caribou","DU6","LW","rast.du6_bounds","N",-0.01363,"blocks_10_60","DT","blockid > 0 AND age BETWEEN 10 AND 60","",21326.91,21454.15
"33","caribou","DU6","LW","rast.du6_bounds","Y",-0.00181,"dt_crds_paved","DT","rast.dt_crds_paved","",23662.42,16945.14
"34","caribou","DU6","LW","rast.du6_bounds","N",0.03323,"dt_crds_resource","DT","roadyear >= 0","",611.28,571.51
"35","caribou","DU6","LW","rast.du6_bounds","Y",0.06308,"dt_pipelines","DT","rast.dt_pipelines","",4452.44,5111.67
"36","caribou","DU6","LW","rast.du6_bounds","Y",0.21316,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"37","caribou","DU6","LW","rast.du6_bounds","Y",-0.06136,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"38","caribou","DU6","LW","rast.du6_bounds","Y",-0.24502,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"39","caribou","DU6","LW","rast.du6_bounds","Y",-0.41433,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"40","caribou","DU6","LW","rast.du6_bounds","Y",-0.21353,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"41","caribou","DU6","LW","rast.du6_bounds","Y",0.04349,"grow_deg_day","UP","rast.grow_deg_day","",1156.49,78.84
"42","caribou","DU6","LW","rast.du6_bounds","Y",-0.04058,"ppt_snow_winter","UP","rast.ppt_snow_winter","",69.27,6.13
"43","caribou","DU6","LW","rast.du6_bounds","Y",1,"bec_current","RC","rast.bec_current","''1-6:0,7:-0.1676, 8-129:0''",0,1
"44","caribou","DU6","LW","rast.du6_bounds","Y",1,"demars_wetland","RC","rast.demars_wetland","''0:0.3065,1:0.3065,2:0.3065,3:0.3065,5:0.3065,6:0.3065,7:-0.0718,8:0.3498,9:-0.0718,10:0.3498,11:-0.0718,12:0.3498,13:0.6486,14:0.6486,15:0.6486,16:-0.3210,17:-0.3210,18:-0.3210,20:0.0818,21:0,22:-1.0731,23:-1.0731,24:0.3065,25:0.3065,26:0.3065,27:0.3065,28:0.3065,29:0.3065,30:0.3065,32:0.3065,33:0''",0,1
"45","caribou","DU6","LW","rast.du6_bounds","Y",0.13937,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",17.47,15.51
"46","caribou","DU6","LW","rast.du6_bounds","Y",0.01874,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",11.98,11.98
"47","caribou","DU6","LW","rast.du6_bounds","N",0.07537,"age","UP","age","",98.36,38.14
"48","caribou","DU6","LW","rast.du6_bounds","Y",0.05259,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",24.84,17.6
"49","caribou","DU6","LW","rast.du6_bounds","N",-0.21433,"height","UP","height","",8.79,5.65
"50","caribou","DU6","LW","rast.du6_bounds","N",0.08297,"crownclosure","UP","crownclosure","",32.79,18.3
"51","caribou","DU6","S","rast.du6_bounds","Y",-1.78539,"int","","","",0,1
"52","caribou","DU6","S","rast.du6_bounds","Y",-0.05895,"bc_ha_slope","","rast.bc_ha_slope","",1.31,1.79
"53","caribou","DU6","S","rast.du6_bounds","Y",0.06837,"dt_waterbodies","DT","rast.dt_waterbodies","",2078.08,1615.64
"54","caribou","DU6","S","rast.du6_bounds","Y",0.05367,"dt_watercourses","DT","rast.dt_watercourses","",8416.94,5912.19
"55","caribou","DU6","S","rast.du6_bounds","N",-0.11194,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",81359.64,64925.71
"56","caribou","DU6","S","rast.du6_bounds","N",-0.26659,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",43750.26,32983.11
"57","caribou","DU6","S","rast.du6_bounds","N",-0.16262,"blocks_10_60","DT","blockid > 0 AND age BETWEEN 10 AND 60","",21859.19,21818.8
"58","caribou","DU6","S","rast.du6_bounds","Y",0.01986,"dt_crds_paved","DT","rast.dt_crds_paved","",24735.56,17889.59
"59","caribou","DU6","S","rast.du6_bounds","N",0.06206,"dt_crds_resource","DT","roadyear >= 0","",639.35,594.59
"60","caribou","DU6","S","rast.du6_bounds","Y",0.10752,"dt_pipelines","DT","rast.dt_pipelines","",4456.65,5235.59
"61","caribou","DU6","S","rast.du6_bounds","Y",0.06845,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"62","caribou","DU6","S","rast.du6_bounds","Y",-0.2015,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"63","caribou","DU6","S","rast.du6_bounds","Y",-0.14326,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"64","caribou","DU6","S","rast.du6_bounds","Y",-0.25276,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"65","caribou","DU6","S","rast.du6_bounds","Y",-0.01891,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"66","caribou","DU6","S","rast.du6_bounds","Y",0.30986,"pas","UP","rast.pas","",154.68,14.62
"67","caribou","DU6","S","rast.du6_bounds","Y",0.09115,"ppt_sm","UP","rast.ppt_sm","",217.87,11.26
"68","caribou","DU6","S","rast.du6_bounds","Y",0.08235,"tave_sm","UP","rast.tave_sm","",14.46,1.55
"69","caribou","DU6","S","rast.du6_bounds","Y",1,"bec_current","RC","rast.bec_current","''1-6:0,7:-0.1676, 8-129:0''",0,1
"70","caribou","DU6","S","rast.du6_bounds","Y",1,"demars_wetland","RC","rast.demars_wetland","''0:0.3418,1:0.3418,2:0.3418,3:0.3418,5:0.3418,6:0.3418,7:0.1927,8:0.4931,9:0.1927,10:0.4931,11:0.1927,12:0.4931,13:0.5827,14:0.5827,15:0.5827,16:-0.0947,17:-0.0947,18:-0.0947,20:0.3288,21:0,22:-0.7312,23:-0.7312,24:0.3418,25:0.3418,26:0.3418,27:0.3418,28:0.3418,29:0.3418,30:0.3418,32:0.3418,33:0''",0,1
"71","caribou","DU6","S","rast.du6_bounds","Y",0.14901,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",17.42,15.36
"72","caribou","DU6","S","rast.du6_bounds","Y",0.07282,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",11.88,12.11
"73","caribou","DU6","S","rast.du6_bounds","N",0.11211,"age","UP","age","",100.07,38.17
"74","caribou","DU6","S","rast.du6_bounds","Y",0.13457,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",26.4,18.19
"75","caribou","DU6","S","rast.du6_bounds","N",-0.13097,"height","UP","height","",8.51,5.19
"76","caribou","DU6","S","rast.du6_bounds","N",0.13981,"crownclosure","UP","crownclosure","",32.08,17.89
"77","caribou","DU8","EW","rast.du8_bounds","Y",-2.88167,"int","","","",0,1
"78","caribou","DU8","EW","rast.du8_bounds","Y",1,"bec_current","RC","rast.bec_current","''1:1.8593,2:1.8593,3-6:0,7:0.9401,8:0,9:0.8622,10-41:0,42:0.5476,43:0.9612,44-52:0,53:0.7801,54-55:0,56:0.2068,57-122:0,123:0.2700,124-129:0''",0,1
"79","caribou","DU8","EW","rast.du8_bounds","N",0.02932,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",9647.65,6561.15
"80","caribou","DU8","EW","rast.du8_bounds","N",-0.14178,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",6603.94,4832.88
"81","caribou","DU8","EW","rast.du8_bounds","N",0.06689,"blocks_10_29","DT","blockid > 0 AND age BETWEEN 10 AND 29","",3176.5,2655.67
"82","caribou","DU8","EW","rast.du8_bounds","N",-0.12719,"blocks_30_60","DT","blockid > 0 AND age BETWEEN 30 AND 60","",5803.03,3683.12
"83","caribou","DU8","EW","rast.du8_bounds","N",0.00248,"dt_crds_resource","DT","roadyear >= 0","",1295.38,1549.52
"84","caribou","DU8","EW","rast.du8_bounds","Y",0.13032,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"85","caribou","DU8","EW","rast.du8_bounds","Y",-0.05028,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"86","caribou","DU8","EW","rast.du8_bounds","Y",-1.02461,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"87","caribou","DU8","EW","rast.du8_bounds","Y",-0.10057,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"88","caribou","DU8","EW","rast.du8_bounds","Y",-0.20953,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"89","caribou","DU8","EW","rast.du8_bounds","Y",-0.06267,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",10.03,14.11
"90","caribou","DU8","EW","rast.du8_bounds","Y",0.42835,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",5.28,11.12
"91","caribou","DU8","LW","rast.du8_bounds","Y",-1.93693,"int","","","",0,1
"92","caribou","DU8","LW","rast.du8_bounds","Y",-0.60122,"bc_ha_slope","","rast.bc_ha_slope","",17.35,11.52
"93","caribou","DU8","LW","rast.du8_bounds","Y",-0.06432,"dt_watercourses","DT","rast.dt_watercourses","",5000.13,2148.91
"94","caribou","DU8","LW","rast.du8_bounds","Y",0.02375,"dt_waterbodies","DT","rast.dt_waterbodies","",3420.25,2252.94
"95","caribou","DU8","LW","rast.du8_bounds","Y",1.35767,"dem","","rast.dem","",1523.83,251.99
"96","caribou","DU8","LW","rast.du8_bounds","N",-0.02184,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",12205.11,6115.12
"97","caribou","DU8","LW","rast.du8_bounds","N",-0.19594,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",8696.5,4998.32
"98","caribou","DU8","LW","rast.du8_bounds","N",-0.01181,"blocks_10_29","DT","blockid > 0 AND age BETWEEN 10 AND 29","",4475.74,3114.78
"99","caribou","DU8","LW","rast.du8_bounds","N",-0.03565,"blocks_30_60","DT","blockid > 0 AND age BETWEEN 30 AND 60","",7144.74,4147.52
"100","caribou","DU8","LW","rast.du8_bounds","N",0.02286,"dt_crds_resource","DT","roadyear >= 0","",1929.46,1918.13
"101","caribou","DU8","LW","rast.du8_bounds","Y",-0.09524,"dt_pipelines","DT","rast.dt_pipelines","",8435.61,11735.18
"102","caribou","DU8","LW","rast.du8_bounds","Y",-0.11099,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"103","caribou","DU8","LW","rast.du8_bounds","Y",0.14883,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"104","caribou","DU8","LW","rast.du8_bounds","Y",-1.20599,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"105","caribou","DU8","LW","rast.du8_bounds","Y",-0.08847,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"106","caribou","DU8","LW","rast.du8_bounds","Y",-0.45233,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"107","caribou","DU8","LW","rast.du8_bounds","N",0.0879,"age","UP","age","",106.52,81.11
"108","caribou","DU8","LW","rast.du8_bounds","Y",0.05554,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",13.35,19.16
"109","caribou","DU8","LW","rast.du8_bounds","Y",-0.06945,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",10.33,15.47
"110","caribou","DU8","LW","rast.du8_bounds","Y",-1.13934,"ppt_snow_winter","UP","rast.ppt_snow_winter","",348.79,127.65
"111","caribou","DU8","LW","rast.du8_bounds","Y",0.20951,"tave_wt","UP","rast.tave_wt","",-9.81,1.55
"112","caribou","DU8","S","rast.du8_bounds","Y",-1.33767,"int","","","",0,1
"113","caribou","DU8","S","rast.du8_bounds","Y",-0.37005,"bc_ha_slope","","rast.bc_ha_slope","",17.61,11.11
"114","caribou","DU8","LW","rast.du8_bounds","Y",-0.26561,"vri2017_siteindex","","rast.vri2017_siteindex","",5.07,4.27
"115","caribou","DU8","S","rast.du8_bounds","Y",-0.13619,"dt_watercourses","DT","rast.dt_watercourses","",4635.76,2482.39
"116","caribou","DU8","S","rast.du8_bounds","Y",0.13806,"dt_waterbodies","DT","rast.dt_waterbodies","",3687.11,2313.75
"117","caribou","DU8","S","rast.du8_bounds","N",-0.00788,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",11967.97,6586.27
"118","caribou","DU8","S","rast.du8_bounds","N",0.06212,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",7648.06,4899.73
"119","caribou","DU8","S","rast.du8_bounds","N",-0.18366,"blocks_10_29","DT","blockid > 0 AND age BETWEEN 10 AND 29","",3984.84,3211.47
"120","caribou","DU8","S","rast.du8_bounds","N",0.01979,"blocks_30_60","DT","blockid > 0 AND age BETWEEN 30 AND 60","",7812.35,4273.94
"121","caribou","DU8","S","rast.du8_bounds","N",0.12431,"dt_crds_resource","DT","roadyear >= 0","",2054.78,1971.17
"122","caribou","DU8","S","rast.du8_bounds","Y",0.14426,"dt_pipelines","DT","rast.dt_pipelines","",9981.83,12221.45
"123","caribou","DU8","S","rast.du8_bounds","Y",-0.18358,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"124","caribou","DU8","S","rast.du8_bounds","Y",-0.33415,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"125","caribou","DU8","S","rast.du8_bounds","Y",-0.00315,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"126","caribou","DU8","S","rast.du8_bounds","Y",-0.55541,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"127","caribou","DU8","S","rast.du8_bounds","Y",-0.12787,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"128","caribou","DU8","S","rast.du8_bounds","N",-0.0611,"age","UP","age","",125.61,81.14
"129","caribou","DU8","S","rast.du8_bounds","Y",0.10372,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",13.7,18.46
"130","caribou","DU8","S","rast.du8_bounds","Y",-0.0642,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",12.51,16.27
"131","caribou","DU8","S","rast.du8_bounds","Y",1,"bec_current","RC","rast.bec_current","''1:0.6417,2:0.6417,3-6:0,7:-0.9283,8:0,9:-0.9048,10-41:0,42:0.0945,43:0.1301,44-52:0,53:0.0834,54-55:0,56:-0.7491,57-122:0,123:-0.4990,124-129:0''",0,1
"132","caribou","DU8","S","rast.du8_bounds","Y",-0.21863,"map","UP","rast.map","",1271.48,313.96
"133","caribou","DU7","EW","rast.du7_bounds","Y",-2.07,"int","","","",0,1
"134","caribou","DU7","EW","rast.du7_bounds","Y",-0.35,"bc_ha_slope","","rast.bc_ha_slope","",8.96,11.24
"135","caribou","DU7","EW","rast.du7_bounds","Y",-0.18,"dt_watercourses","DT","rast.dt_watercourses","",12265.56,9651.81
"136","caribou","DU7","EW","rast.du7_bounds","Y",0.02,"dt_waterbodies","DT","rast.dt_waterbodies","",3228.73,3137.24
"137","caribou","DU7","EW","rast.du7_bounds","Y",0.54,"dem","","rast.dem","",1365.56,276.69
"138","caribou","DU7","EW","rast.du7_bounds","N",-0.23,"blocks_0_4","DT","blockid > 0 AND age BETWEEN 0 AND 4","",40506.96,41225.4
"139","caribou","DU7","EW","rast.du7_bounds","N",0.05,"blocks_5_9","DT","blockid > 0 AND age BETWEEN 5 AND 9","",22820.57,19214.23
"140","caribou","DU7","EW","rast.du7_bounds","N",-0.14,"blocks_10_60","DT","blockid > 0 AND age BETWEEN 10 AND 60","",13974.75,15863.16
"141","caribou","DU7","EW","rast.du7_bounds","Y",0.05,"dt_crds_paved","DT","rast.dt_crds_paved","",20824.17,12261.22
"142","caribou","DU7","EW","rast.du7_bounds","N",0.06,"dt_crds_resource","DT","roadyear >= 0","",5981.6,7118.27
"143","caribou","DU7","EW","rast.du7_bounds","Y",0.41,"dt_pipelines","DT","rast.dt_pipelines","",84103.35,57787.66
"144","caribou","DU7","EW","rast.du7_bounds","Y",0.04,"beetle_1_to_5","UP","rast.beetle_1_to_5","",0,1
"145","caribou","DU7","EW","rast.du7_bounds","Y",0.2,"beetle_6_to_9","UP","rast.beetle_6_to_9","",0,1
"146","caribou","DU7","EW","rast.du7_bounds","Y",-0.32,"fire_1_to_5","UP","rast.fire_1_to_5","",0,1
"147","caribou","DU7","EW","rast.du7_bounds","Y",-0.08,"fire_6_to_25","UP","rast.fire_6_to_25","",0,1
"148","caribou","DU7","EW","rast.du7_bounds","Y",-0.26,"fire_gt_25","UP","rast.fire_gt_25","",0,1
"149","caribou","DU7","EW","rast.du7_bounds","Y",-0.4,"ppt_snow_winter","UP","rast.ppt_snow_winter","",145.52,53.21
"150","caribou","DU7","EW","rast.du7_bounds","Y",-0.16,"tave_wt","UP","rast.tave_wt","",-8.83,1.92
"151","caribou","DU7","EW","rast.du7_bounds","N",-0.02,"age","UP","age","",118.68,64.19
"152","caribou","DU7","EW","rast.du7_bounds","N",-0.12,"crownclosure","UP","crownclosure","",26.55,19.22
"153","caribou","DU7","EW","rast.du7_bounds","Y",0.08,"vri2017_herbcoverpct","UP","rast.vri2017_herbcoverpct","",14.92,18.11
"154","caribou","DU7","EW","rast.du7_bounds","Y",-0.01,"vri2017_shrubcrownclosure","UP","rast.vri2017_shrubcrownclosure","",12.81,15.25
"155","caribou","DU7","EW","rast.du7_bounds","Y",0.12,"vri2017_bryoidcoverpct","UP","rast.vri2017_bryoidcoverpct","",5.64,9.84
"156","caribou","DU7","LW","rast.du7_bounds","Y",-1.63723,"int","","","",0,1
"157","caribou","DU7","LW","rast.du7_bounds","Y",-0.3336,"bc_ha_slope","","rast.bc_ha_slope","",10.38,11.21
